,Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
0,Alcoholic Beverages companies,United Spirits,https://www.screener.in/company/MCDOWELL-N/consolidated/,"81,300","1,118","1,124",731,63.3,93.6,0.36,20.0,17.5,2.0,0.03,53.0,31.6,72.7,4.40,0.55,65.8,4.66,0.99,0.03,MCDOWELL-N
1,Alcoholic Beverages companies,United Breweries,https://www.screener.in/company/UBL/consolidated/,"47,199","1,785","1,790","1,342",166,152,0.42,11.4,8.27,1.0,1.76,33.0,31.6,26.4,4.84,0.26,70.9,4.06,1.0,0.0,UBL
2,Alcoholic Beverages companies,Radico Khaitan,https://www.screener.in/company/RADICO/,"22,172","1,658","1,885","1,008",101,168,0.18,11.6,9.82,2.0,13.4,64.5,31.6,13.4,9.38,12.0,61.2,4.63,0.88,0.39,RADICO
3,Alcoholic Beverages companies,Tilaknagar Inds.,https://www.screener.in/company/TI/consolidated/,"4,635",241,291,95.5,40.3,29.7,0.10,15.5,23.9,10.0,38.7,152,31.6,19.2,21.3,17.3,42.0,1.93,0.83,0.33,TI
4,Alcoholic Beverages companies,Sula Vineyards,https://www.screener.in/company/SULA/,"4,207",498,535,316,44.0,65.5,1.05,19.9,18.3,2.0,15.4,58.0,31.6,8.44,8.39,6.82,65.6,2.79,0.93,0.47,SULA
5,Alcoholic Beverages companies,Piccadily Agro,https://www.screener.in/company/530305/consolidated/,"2,599",276,328,38.7,77.9,26.9,0.07,12.8,10.2,10.0,13.3,612,31.6,9.43,14.4,16.0,68.4,1.18,0.84,0.64,530305
6,Alcoholic Beverages companies,Globus Spirits,https://www.screener.in/company/GLOBUSSPR/,"2,516",873,"1,328",739,22.0,321,0.69,18.5,14.7,10.0,26.0,18.2,31.6,2.88,21.9,34.2,56.4,4.53,0.66,0.38,GLOBUSSPR
7,Alcoholic Beverages companies,India Glycols,https://www.screener.in/company/INDIAGLYCO/consolidated/,"2,378",768,803,512,16.6,635,0.98,8.39,5.94,10.0,-9.56,49.9,31.6,3.10,-1.04,4.32,64.5,12.3,0.96,0.56,INDIAGLYCO
8,Alcoholic Beverages companies,Som Distilleries,https://www.screener.in/company/SDBL/consolidated/,"2,204",284,390,109,29.4,66.5,0.09,15.6,18.1,5.0,62.9,160,31.6,7.75,20.6,27.1,40.6,1.92,0.73,0.31,SDBL
9,Alcoholic Beverages companies,G M Breweries,https://www.screener.in/company/GMBREW/,"1,289",706,808,509,12.5,390,0.85,19.7,15.0,10.0,9.21,38.6,31.6,1.83,8.19,12.7,61.2,12.2,0.87,0.0,GMBREW
10,Alcoholic Beverages companies,Jagatjit Inds.,https://www.screener.in/company/507155/consolidated/,951,205,247,86.0,60.4,15.6,0.00,12.7,9.01,10.0,4.56,138,31.6,4.64,32.0,17.1,53.9,0.51,0.83,2.95,507155
