,company_url,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity
0,https://www.screener.in/company/GSFC/consolidated/,11297.0,284.0,306.0,116.0,10.7,310.0,3.52,13.1,10.6,2.0,8.2,145.0,26.6,39.8,13.4,7.27,65.3,7.75,0.93,0.0
1,https://www.screener.in/company/JBMA/consolidated/,22355.0,1890.0,2007.0,482.0,163.0,90.1,0.07,11.8,12.9,2.0,9.31,292.0,33.2,11.8,25.6,5.84,70.7,3.74,0.94,1.93
2,https://www.screener.in/company/ALKYLAMINE/consolidated/,12072.0,2360.0,2798.0,2119.0,63.7,105.0,0.42,41.3,41.4,2.0,17.3,11.4,34.3,5.11,25.6,15.6,43.0,9.65,0.84,0.16
4,https://www.screener.in/company/IDEA/consolidated/,73555.0,15.1,18.4,5.7,,-18.7,0.0,0.0,0.0,10.0,3.76,165.0,57.1,4868.0,-2.11,18.0,49.4,-1.79,0.82,0.0
5,https://www.screener.in/company/SPARC/consolidated/,12299.0,379.0,424.0,160.0,,10.2,0.0,0.0,0.0,1.0,0.0,136.0,38.7,32.4,0.0,10.5,64.0,-2.66,0.89,0.04
6,https://www.screener.in/company/ENGINERSIN/consolidated/,12576.0,224.0,232.0,70.0,26.6,38.5,1.34,23.7,18.4,5.0,6.82,219.0,38.3,56.2,0.95,3.85,72.6,2.27,0.96,0.01
7,https://www.screener.in/company/JUBLPHARMA/consolidated/,8842.0,555.0,598.0,269.0,,340.0,0.9,3.13,-6.89,1.0,10.3,106.0,39.6,15.9,1.68,7.27,56.5,3.92,0.93,0.68
8,https://www.screener.in/company/GNFC/consolidated/,11318.0,728.0,815.0,484.0,12.1,568.0,4.12,22.6,17.2,10.0,-16.9,50.3,34.3,15.5,25.6,10.7,43.4,11.7,0.89,0.02
9,https://www.screener.in/company/GUJGASLTD/consolidated/,38367.0,558.0,566.0,397.0,30.6,103.0,1.19,31.2,24.2,2.0,-19.6,40.5,19.4,68.8,17.6,1.55,86.9,4.3,0.98,0.02
10,https://www.screener.in/company/CIEINDIA/consolidated/,18769.0,494.0,580.0,332.0,24.5,134.0,0.0,14.6,-1.65,10.0,13.6,48.9,28.4,37.9,3.44,14.8,57.7,9.9,0.85,0.19
11,https://www.screener.in/company/GODREJIND/consolidated/,27444.0,816.0,904.0,395.0,31.2,244.0,0.0,7.81,11.2,1.0,7.08,106.0,34.3,33.7,14.0,9.74,60.6,2.59,0.9,3.07
12,https://www.screener.in/company/GSPL/consolidated/,17665.0,313.0,340.0,254.0,11.6,176.0,1.6,26.6,18.9,10.0,-18.1,23.0,19.4,56.4,14.0,7.84,51.3,8.06,0.92,0.01
13,https://www.screener.in/company/YESBANK/consolidated/,71731.0,25.0,26.2,14.1,85.7,13.8,0.0,4.94,1.99,2.0,23.5,77.0,14.4,2876.0,-4.48,4.95,64.7,0.08,0.95,7.42
