Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
Alcoholic Beverages companies,United Spirits,https://www.screener.in/company/MCDOWELL-N/consolidated/,81300.0,1118.0,1124.0,731.0,63.3,93.6,0.36,,17.5,,0.03,53.0,31.6,72.7,4.4,0.55,65.8,4.66,0.99,0.03,MCDOWELL-N
Alcoholic Beverages companies,United Breweries,https://www.screener.in/company/UBL/consolidated/,47199.0,1785.0,1790.0,1342.0,166.0,152.0,0.42,,8.27,,1.76,33.0,31.6,26.4,4.84,0.26,70.9,4.06,1.0,0.0,UBL
Alcoholic Beverages companies,Radico Khaitan,https://www.screener.in/company/RADICO/,22172.0,1658.0,1885.0,1008.0,101.0,168.0,0.18,,9.82,,13.4,64.5,31.6,13.4,9.38,12.0,61.2,4.63,0.88,0.39,RADICO
Alcoholic Beverages companies,Tilaknagar Inds.,https://www.screener.in/company/TI/consolidated/,4635.0,241.0,291.0,95.5,40.3,29.7,0.1,,23.9,,38.7,152.0,31.6,19.2,21.3,17.3,42.0,1.93,0.83,0.33,TI
Alcoholic Beverages companies,Sula Vineyards,https://www.screener.in/company/SULA/,4207.0,498.0,535.0,316.0,44.0,65.5,1.05,,18.3,,15.4,58.0,31.6,8.44,8.39,6.82,65.6,2.79,0.93,0.47,SULA
Alcoholic Beverages companies,Piccadily Agro,https://www.screener.in/company/530305/consolidated/,2599.0,276.0,328.0,38.7,77.9,26.9,0.07,,10.2,,13.3,612.0,31.6,9.43,14.4,16.0,68.4,1.18,0.84,0.64,530305
Alcoholic Beverages companies,Globus Spirits,https://www.screener.in/company/GLOBUSSPR/,2516.0,873.0,1328.0,739.0,22.0,321.0,0.69,,14.7,,26.0,18.2,31.6,2.88,21.9,34.2,56.4,4.53,0.66,0.38,GLOBUSSPR
Alcoholic Beverages companies,India Glycols,https://www.screener.in/company/INDIAGLYCO/consolidated/,2378.0,768.0,803.0,512.0,16.6,635.0,0.98,,5.94,,-9.56,49.9,31.6,3.1,-1.04,4.32,64.5,12.3,0.96,0.56,INDIAGLYCO
Alcoholic Beverages companies,Som Distilleries,https://www.screener.in/company/SDBL/consolidated/,2204.0,284.0,390.0,109.0,29.4,66.5,0.09,,18.1,,62.9,160.0,31.6,7.75,20.6,27.1,40.6,1.92,0.73,0.31,SDBL
Alcoholic Beverages companies,G M Breweries,https://www.screener.in/company/GMBREW/,1289.0,706.0,808.0,509.0,12.5,390.0,0.85,,15.0,,9.21,38.6,31.6,1.83,8.19,12.7,61.2,12.2,0.87,0.0,GMBREW
Alcoholic Beverages companies,Jagatjit Inds.,https://www.screener.in/company/507155/consolidated/,951.0,205.0,247.0,86.0,60.4,15.6,0.0,,9.01,,4.56,138.0,31.6,4.64,32.0,17.1,53.9,0.51,0.83,2.95,507155
Alcoholic Beverages companies,Assoc.Alcohols,https://www.screener.in/company/ASALCBR/,875.0,484.0,516.0,311.0,18.9,214.0,0.21,,12.3,,8.25,55.4,31.6,1.81,10.3,6.28,58.2,7.44,0.94,0.24,ASALCBR
Alcoholic Beverages companies,IFB Agro Inds.,https://www.screener.in/company/IFBAGRO/consolidated/,462.0,493.0,585.0,414.0,25.5,588.0,0.0,,9.39,,-20.2,19.1,31.6,0.94,8.14,15.7,61.6,-2.24,0.84,0.03,IFBAGRO
Alcoholic Beverages companies,Khoday India,https://www.screener.in/company/507435/,391.0,116.0,124.0,66.0,,1.49,0.0,,-62.0,,-14.3,76.1,31.6,3.37,-1.51,6.44,65.0,-0.27,0.94,50.5,507435
Alcoholic Beverages companies,Comfort Intech,https://www.screener.in/company/531216/consolidated/,300.0,9.38,10.2,2.34,33.9,4.16,0.64,,5.8,,-7.52,301.0,31.6,32.0,33.6,7.77,64.7,0.16,0.92,0.09,531216
Alcoholic Beverages companies,Aurangabad Dist.,https://www.screener.in/company/AURDIS/,234.0,285.0,350.0,99.8,11.6,92.4,0.0,,28.9,,42.8,186.0,31.6,0.82,36.1,18.5,46.0,11.3,0.82,0.63,AURDIS
Alcoholic Beverages companies,Shri Gang Indus,https://www.screener.in/company/523309/,212.0,118.0,168.0,50.3,10.0,-18.7,0.0,,,,154.0,136.0,31.6,1.79,2303.0,29.7,40.7,2.21,0.7,,523309
Alcoholic Beverages companies,Piccadily Sugar,https://www.screener.in/company/507498/,114.0,49.1,49.1,14.8,,5.48,0.0,,-21.9,,-50.4,231.0,31.6,2.33,-23.6,0.0,83.7,-0.33,1.0,0.33,507498
Alcoholic Beverages companies,Ravikumar Distll,https://www.screener.in/company/RKDL/,50.5,21.0,29.5,10.6,,17.3,0.0,,-2.8,,11.1,99.5,31.6,2.4,-28.3,28.6,45.9,-0.67,0.71,0.97,RKDL
Alcoholic Beverages companies,Winsome Brew.,https://www.screener.in/company/526471/,47.0,17.0,24.9,8.9,294.0,12.1,0.0,,-2.42,,-92.5,90.8,31.6,2.77,-59.3,31.9,43.1,0.2,0.68,0.27,526471
Alcoholic Beverages companies,Silver Oak (I),https://www.screener.in/company/531635/consolidated/,24.1,63.7,80.6,35.6,,17.6,0.0,,-15.7,,100.0,78.9,31.6,0.38,0.0,21.0,58.1,-1.27,0.79,1.27,531635
Auto Ancillaries companies,Samvardh. Mothe.,https://www.screener.in/company/MOTHERSON/consolidated/,69086.0,102.0,104.0,61.8,45.5,33.3,0.64,,7.16,,28.0,65.0,32.7,678.0,9.03,1.5,67.8,0.3,0.99,0.97,MOTHERSON
Auto Ancillaries companies,Tube Investments,https://www.screener.in/company/TIINDIA/consolidated/,68486.0,3542.0,4050.0,2375.0,74.9,229.0,0.1,,27.0,,8.91,49.1,32.7,19.3,46.6,12.6,51.6,13.6,0.87,0.19,TIINDIA
Auto Ancillaries companies,Bosch,https://www.screener.in/company/BOSCHLTD/,65487.0,22204.0,22300.0,16366.0,42.8,3929.0,2.16,,13.2,,17.5,35.7,32.7,2.95,14.9,0.43,65.0,339.0,1.0,0.0,BOSCHLTD
Auto Ancillaries companies,Uno Minda,https://www.screener.in/company/UNOMINDA/consolidated/,39417.0,688.0,695.0,433.0,53.1,77.6,0.22,,17.1,,24.8,58.8,32.7,57.3,21.8,1.01,63.3,3.93,0.99,0.37,UNOMINDA
Auto Ancillaries companies,Sona BLW Precis.,https://www.screener.in/company/SONACOMS/consolidated/,37796.0,644.0,652.0,401.0,80.1,41.6,0.44,,18.3,,28.8,60.7,32.7,58.6,37.1,1.1,73.3,2.12,0.99,0.16,SONACOMS
Auto Ancillaries companies,ZF Commercial,https://www.screener.in/company/ZFCVINDIA/,30349.0,16007.0,16965.0,8755.0,77.7,1365.0,0.08,,13.9,,25.4,82.8,32.7,1.9,21.3,5.65,54.9,55.0,0.94,0.02,ZFCVINDIA
Auto Ancillaries companies,Motherson Wiring,https://www.screener.in/company/MSUMI/,27300.0,61.8,68.0,45.2,52.1,2.98,1.05,,39.8,,13.4,36.8,32.7,442.0,,9.19,55.3,0.35,0.91,0.21,MSUMI
Auto Ancillaries companies,Endurance Tech.,https://www.screener.in/company/ENDURANCE/consolidated/,27193.0,1933.0,1948.0,1172.0,48.3,326.0,0.36,,11.3,,10.4,65.0,32.7,14.1,8.38,0.76,72.7,11.0,0.99,0.15,ENDURANCE
Auto Ancillaries companies,Exide Inds.,https://www.screener.in/company/EXIDEIND/consolidated/,27017.0,318.0,324.0,170.0,31.1,147.0,0.63,,7.28,,7.72,86.4,32.7,85.0,1.38,1.97,70.5,3.17,0.98,0.06,EXIDEIND
Auto Ancillaries companies,Sundram Fasten.,https://www.screener.in/company/SUNDRMFAST/consolidated/,26243.0,1249.0,1341.0,935.0,52.2,153.0,0.53,,17.4,,6.05,33.6,32.7,21.0,15.0,6.85,50.7,6.28,0.93,0.18,SUNDRMFAST
Auto Ancillaries companies,JBM Auto,https://www.screener.in/company/JBMA/consolidated/,17314.0,1464.0,1608.0,482.0,127.0,90.1,0.09,,12.9,,9.31,204.0,32.7,11.8,25.6,8.92,68.4,3.74,0.91,1.93,JBMA
Auto Ancillaries companies,Amara Raja Ener.,https://www.screener.in/company/ARE&M/,13938.0,816.0,831.0,546.0,17.4,331.0,0.75,,14.8,,7.93,49.4,32.7,17.1,14.9,1.83,70.2,12.6,0.98,0.02,ARE&M
Auto Ancillaries companies,Craftsman Auto,https://www.screener.in/company/CRAFTSMAN/consolidated/,11422.0,5406.0,5514.0,2699.0,38.3,721.0,0.21,,19.8,,48.1,100.0,32.7,2.11,28.7,1.95,62.0,44.8,0.98,0.99,CRAFTSMAN
Auto Ancillaries companies,Bombay Burmah,https://www.screener.in/company/BBTC/consolidated/,10984.0,1574.0,1590.0,781.0,41.2,572.0,0.08,,-70.0,,8.91,102.0,32.7,6.98,11.8,1.01,67.8,17.5,0.99,1.39,BBTC
Auto Ancillaries companies,Minda Corp,https://www.screener.in/company/MINDACORP/consolidated/,9234.0,386.0,404.0,185.0,33.2,78.5,0.31,,19.6,,14.8,109.0,32.7,23.9,24.6,4.45,57.8,2.46,0.96,0.41,MINDACORP
Auto Ancillaries companies,Varroc Engineer,https://www.screener.in/company/VARROC/consolidated/,8467.0,554.0,589.0,239.0,50.9,67.7,0.0,,-55.9,,7.52,131.0,32.7,15.3,-14.9,5.88,61.0,3.55,0.94,1.39,VARROC
Auto Ancillaries companies,Rolex Rings,https://www.screener.in/company/ROLEXRINGS/,6863.0,2520.0,2550.0,1622.0,35.3,308.0,0.0,,30.8,,12.4,55.4,32.7,2.72,21.0,1.17,66.1,17.2,0.99,0.05,ROLEXRINGS
Auto Ancillaries companies,Shriram Pistons,https://www.screener.in/company/SHRIPISTON/consolidated/,6414.0,1456.0,1566.0,491.0,16.9,394.0,0.34,,20.8,,18.4,197.0,32.7,4.4,17.5,7.02,82.0,25.8,0.93,0.19,SHRIPISTON
Auto Ancillaries companies,ASK Automotive,https://www.screener.in/company/ASKAUTOLTD/consolidated/,5727.0,290.0,320.0,271.0,46.7,,0.0,,19.2,,26.9,7.04,32.7,19.7,15.8,9.19,51.7,2.09,0.91,0.61,ASKAUTOLTD
Auto Ancillaries companies,Gabriel India,https://www.screener.in/company/GABRIEL/,5647.0,393.0,444.0,129.0,37.1,65.1,0.65,,16.2,,10.8,204.0,32.7,14.4,16.7,11.4,45.3,3.27,0.89,0.01,GABRIEL
Auto Ancillaries companies,Suprajit Engg.,https://www.screener.in/company/SUPRAJIT/consolidated/,5628.0,407.0,447.0,315.0,38.3,91.9,0.57,,13.2,,18.5,29.0,32.7,13.8,20.8,9.0,67.6,2.51,0.91,0.57,SUPRAJIT
Auto Ancillaries companies,Sansera Enginee.,https://www.screener.in/company/SANSERA/,5460.0,1019.0,1048.0,697.0,34.3,237.0,0.25,,13.5,,14.0,46.2,32.7,5.36,18.3,2.8,73.8,8.56,0.97,0.5,SANSERA
Auto Ancillaries companies,Pricol Ltd,https://www.screener.in/company/PRICOLLTD/consolidated/,4630.0,380.0,393.0,174.0,38.1,63.1,0.0,,18.3,,18.5,118.0,32.7,12.2,16.5,3.35,64.3,2.72,0.97,0.12,PRICOLLTD
Auto Ancillaries companies,Shanthi Gears,https://www.screener.in/company/SHANTIGEAR/,4607.0,600.0,624.0,317.0,60.5,42.6,0.83,,23.8,,21.9,89.6,32.7,7.67,22.5,3.84,71.0,2.74,0.96,0.0,SHANTIGEAR
Auto Ancillaries companies,Banco Products,https://www.screener.in/company/BANCOINDIA/consolidated/,4571.0,639.0,676.0,190.0,16.1,146.0,3.44,,23.9,,22.1,237.0,32.7,7.15,17.9,5.49,65.2,9.24,0.95,0.38,BANCOINDIA
Auto Ancillaries companies,Jamna Auto Inds.,https://www.screener.in/company/JAMNAAUTO/consolidated/,4455.0,112.0,127.0,94.2,23.5,21.0,1.7,,22.9,,10.9,18.6,32.7,39.9,27.2,12.1,56.4,1.26,0.88,0.08,JAMNAAUTO
Auto Ancillaries companies,Steel Str. Wheel,https://www.screener.in/company/SSWL/,4068.0,259.0,299.0,126.0,21.3,78.2,0.39,,18.6,,2.5,105.0,32.7,15.7,37.2,13.3,35.3,3.35,0.87,0.68,SSWL
Auto Ancillaries companies,L G Balakrishnan,https://www.screener.in/company/LGBBROSLTD/consolidated/,3950.0,1258.0,1366.0,607.0,15.8,468.0,1.27,,19.0,,0.5,107.0,32.7,3.14,12.6,7.89,53.6,24.0,0.92,0.05,LGBBROSLTD
Auto Ancillaries companies,Sharda Motor,https://www.screener.in/company/SHARDAMOTR/,3885.0,1307.0,1380.0,550.0,16.1,291.0,1.32,,28.8,,10.6,138.0,32.7,2.97,46.3,5.31,61.3,26.6,0.95,0.03,SHARDAMOTR
Auto Ancillaries companies,JTEKT India,https://www.screener.in/company/JTEKTINDIA/consolidated/,3881.0,159.0,168.0,95.2,49.5,30.0,0.31,,12.4,,7.13,66.7,32.7,24.4,10.6,5.45,70.5,1.11,0.95,0.09,JTEKTINDIA
Auto Ancillaries companies,Harsha Engg Intl,https://www.screener.in/company/HARSHA/consolidated/,3579.0,393.0,494.0,309.0,32.7,122.0,0.25,,15.4,,-5.66,27.2,32.7,9.1,15.5,20.5,46.1,2.24,0.8,0.15,HARSHA
Auto Ancillaries companies,Subros,https://www.screener.in/company/SUBROS/consolidated/,3535.0,542.0,578.0,271.0,52.9,138.0,0.18,,5.6,,10.5,99.9,32.7,6.52,12.1,6.21,64.8,4.1,0.94,0.05,SUBROS
Auto Ancillaries companies,Automotive Axles,https://www.screener.in/company/AUTOAXLES/,3242.0,2146.0,2693.0,1959.0,17.6,525.0,1.49,,23.4,,29.6,9.51,32.7,1.51,34.6,20.3,35.8,29.8,0.8,0.03,AUTOAXLES
Auto Ancillaries companies,Divgi Torq,https://www.screener.in/company/DIVGIITTS/,2999.0,981.0,1150.0,557.0,64.3,184.0,0.34,,11.5,,15.9,76.0,32.7,3.06,19.4,14.7,41.4,3.51,0.85,0.0,DIVGIITTS
Auto Ancillaries companies,Sandhar Tech,https://www.screener.in/company/SANDHAR/consolidated/,2969.0,493.0,532.0,186.0,32.0,159.0,0.51,,8.01,,17.8,165.0,32.7,6.02,14.4,7.29,52.2,4.54,0.93,0.7,SANDHAR
Auto Ancillaries companies,Fiem Industries,https://www.screener.in/company/FIEMIND/consolidated/,2761.0,2098.0,2177.0,1416.0,18.5,608.0,1.43,,19.9,,0.77,48.1,32.7,1.32,10.2,3.65,58.3,33.0,0.96,0.03,FIEMIND
Auto Ancillaries companies,Lumax Auto Tech.,https://www.screener.in/company/LUMAXTECH/consolidated/,2627.0,386.0,470.0,210.0,27.0,103.0,1.17,,15.9,,29.5,83.4,32.7,6.82,17.4,18.0,52.8,4.02,0.82,1.02,LUMAXTECH
Auto Ancillaries companies,Uniparts India,https://www.screener.in/company/UNIPARTS/consolidated/,2609.0,578.0,723.0,501.0,15.2,194.0,2.47,,27.1,,-7.8,15.3,32.7,4.51,14.6,20.0,68.2,7.31,0.8,0.07,UNIPARTS
Auto Ancillaries companies,Precision Camshf,https://www.screener.in/company/PRECAM/consolidated/,2368.0,249.0,319.0,88.0,57.1,75.8,0.4,,6.55,,7.72,183.0,32.7,9.5,13.1,21.8,52.6,0.89,0.78,0.14,PRECAM
Auto Ancillaries companies,Lumax Industries,https://www.screener.in/company/LUMAXIND/consolidated/,2319.0,2480.0,2799.0,1630.0,22.6,651.0,1.09,,19.7,,15.7,52.1,32.7,0.93,13.1,11.4,44.7,28.1,0.89,0.98,LUMAXIND
Auto Ancillaries companies,Federal-Mogul Go,https://www.screener.in/company/FMGOETZE/consolidated/,2006.0,361.0,432.0,285.0,17.0,187.0,0.0,,11.0,,9.56,26.5,32.7,5.56,14.6,16.5,46.5,5.78,0.83,0.01,FMGOETZE
Auto Ancillaries companies,SJS Enterprises,https://www.screener.in/company/SJS/,1921.0,619.0,745.0,378.0,32.5,155.0,0.0,,15.2,,5.35,63.9,32.7,3.1,11.1,16.9,43.4,5.27,0.83,0.12,SJS
Auto Ancillaries companies,GNA Axles,https://www.screener.in/company/GNA/,1911.0,445.0,583.0,336.0,14.6,181.0,1.35,,19.9,,12.1,32.6,32.7,4.29,20.3,23.7,61.6,6.44,0.76,0.26,GNA
Auto Ancillaries companies,Talbros Auto.,https://www.screener.in/company/TALBROAUTO/consolidated/,1845.0,299.0,348.0,76.0,27.1,73.0,0.2,,16.5,,16.4,293.0,32.7,6.17,18.9,14.0,55.7,3.25,0.86,0.19,TALBROAUTO
Auto Ancillaries companies,Wheels India,https://www.screener.in/company/WHEELS/consolidated/,1671.0,694.0,855.0,432.0,36.7,328.0,1.0,,7.22,,5.27,60.6,32.7,2.41,20.3,18.8,53.1,1.81,0.81,1.0,WHEELS
Auto Ancillaries companies,Igarashi Motors,https://www.screener.in/company/IGARASHI/,1633.0,519.0,692.0,330.0,138.0,140.0,0.19,,1.19,,21.4,57.3,32.7,3.15,7.09,25.1,45.0,0.46,0.75,0.28,IGARASHI
Auto Ancillaries companies,Alicon Cast.,https://www.screener.in/company/ALICON/consolidated/,1400.0,869.0,1004.0,645.0,28.4,316.0,0.72,,11.0,,7.24,34.7,32.7,1.61,13.5,13.5,58.6,9.01,0.87,0.61,ALICON
Auto Ancillaries companies,Rane (Madras),https://www.screener.in/company/RML/consolidated/,1332.0,819.0,990.0,386.0,9.06,157.0,0.0,,14.8,,14.9,112.0,32.7,1.63,22.6,17.4,50.0,10.9,0.83,2.59,RML
Auto Ancillaries companies,India Motor Part,https://www.screener.in/company/IMPAL/,1257.0,1008.0,1141.0,514.0,16.2,1388.0,2.38,,4.94,,2.15,96.0,32.7,1.25,10.9,11.7,54.0,16.6,0.88,0.0,IMPAL
Auto Ancillaries companies,RACL Geartech,https://www.screener.in/company/520073/,1255.0,1164.0,1525.0,675.0,31.0,171.0,0.13,,25.5,,23.0,72.5,32.7,1.08,19.0,23.7,39.9,9.46,0.76,1.36,520073
Auto Ancillaries companies,India Nipp.Elec.,https://www.screener.in/company/INDNIPPON/consolidated/,1210.0,535.0,575.0,325.0,22.2,259.0,1.73,,9.05,,3.81,64.6,32.7,2.26,11.1,6.99,52.8,7.75,0.93,0.01,INDNIPPON
Auto Ancillaries companies,Rico Auto Inds,https://www.screener.in/company/RICOAUTO/consolidated/,1172.0,86.6,112.0,63.0,24.0,51.4,0.87,,7.36,,4.85,37.6,32.7,13.5,18.0,22.3,45.0,0.5,0.78,1.04,RICOAUTO
Auto Ancillaries companies,Jay Bharat Maru.,https://www.screener.in/company/JAYBARMARU/,1151.0,106.0,138.0,50.0,33.4,47.6,0.66,,7.56,,0.88,113.0,32.7,10.8,12.2,22.8,52.2,0.8,0.77,0.85,JAYBARMARU
Auto Ancillaries companies,Enkei Wheels,https://www.screener.in/company/533477/,1047.0,582.0,640.0,416.0,,125.0,0.0,,1.84,,-0.11,39.9,32.7,1.8,35.5,8.99,57.5,3.31,0.91,0.89,533477
