,company_url
0,https://www.screener.in/company/OFSS/consolidated/
1,https://www.screener.in/company/CAREERP/consolidated/
2,https://www.screener.in/company/INDOTHAI/consolidated/
3,https://www.screener.in/company/PAKKA/consolidated/
4,https://www.screener.in/company/CREST/consolidated/
5,https://www.screener.in/company/QUICKHEAL/consolidated/
6,https://www.screener.in/company/ISFT/consolidated/
7,https://www.screener.in/company/KAMDHENU/consolidated/
8,https://www.screener.in/company/VERTOZ/consolidated/
9,https://www.screener.in/company/RANEENGINE/consolidated/
10,https://www.screener.in/company/VAIBHAVGBL/consolidated/
11,https://www.screener.in/company/GILLANDERS/consolidated/
12,https://www.screener.in/company/BAJEL/consolidated/
13,https://www.screener.in/company/AURUM/consolidated/
14,https://www.screener.in/company/MUNJALSHOW/consolidated/
15,https://www.screener.in/company/BLS/consolidated/
